p,d,a
0.99,1,6.0
0.99,2,5.0
0.99,3,6.333
0.99,4,5.75
0.99,5,5.4
0.99,6,5.0
0.99,7,4.714
0.99,8,4.5
0.99,9,4.333
0.99,10,4.2
0.99,11,4.091
0.99,12,4.0
0.99,13,3.846
0.99,14,3.786
0.99,15,3.733
0.99,16,3.625
0.99,17,3.588
0.99,18,3.5
0.99,19,3.474
0.99,20,3.4
0.99,21,3.381
0.99,22,3.318
0.99,23,3.304
0.99,24,3.25
0.99,25,3.2
0.99,26,3.192
0.99,27,3.148
0.99,28,3.107
0.99,29,3.103
0.99,30,3.067
0.99,31,3.032
0.99,32,3.031
0.99,33,3.0
0.99,34,2.971
0.99,35,2.943
0.99,36,2.944
0.99,37,2.919
0.99,38,2.895
0.99,39,2.872
0.99,40,2.875
0.99,41,2.854
0.99,42,2.833
0.99,43,2.814
0.99,44,2.818
0.99,45,2.8
0.99,46,2.783
0.99,47,2.766
0.99,48,2.75
0.99,49,2.735
0.99,50,2.74
0.99,51,2.725
0.99,52,2.712
0.99,53,2.698
0.99,54,2.685
0.99,55,2.673
0.99,56,2.679
0.99,57,2.667
0.99,58,2.655
0.99,59,2.644
0.99,60,2.633
0.99,61,2.623
0.99,62,2.613
0.99,63,2.603
0.99,64,2.609
0.99,65,2.6
0.99,66,2.591
0.99,67,2.582
0.99,68,2.574
0.99,69,2.565
0.99,70,2.557
0.99,71,2.549
0.99,72,2.542
0.99,73,2.548
0.99,74,2.541
0.99,75,2.533
0.99,76,2.526
0.99,77,2.519
0.99,78,2.513
0.99,79,2.506
0.99,80,2.5
0.99,81,2.494
0.99,82,2.488
0.99,83,2.482
0.99,84,2.476
0.99,85,2.471
0.99,86,2.465
0.99,87,2.46
0.99,88,2.466
0.99,89,2.461
0.99,90,2.456
0.99,91,2.451
0.99,92,2.446
0.99,93,2.441
0.99,94,2.436
0.99,95,2.432
0.99,96,2.427
0.99,97,2.423
0.99,98,2.418
0.99,99,2.414
0.99,100,2.41
0.99,101,2.406
0.99,102,2.402
0.99,103,2.398
0.99,104,2.394
0.99,105,2.39
0.99,106,2.387
0.99,107,2.383
0.99,108,2.38
0.99,109,2.376
0.99,110,2.373
0.99,111,2.369
0.99,112,2.366
0.99,113,2.363
0.99,114,2.36
0.99,115,2.357
0.99,116,2.353
0.99,117,2.35
0.99,118,2.347
0.99,119,2.345
0.99,120,2.342
0.99,121,2.339
0.99,122,2.336
0.99,123,2.333
0.99,124,2.331
0.99,125,2.328
0.99,126,2.325
0.99,127,2.323
0.99,128,2.32
0.99,129,2.318
0.99,130,2.315
0.99,131,2.313
0.99,132,2.311
0.99,133,2.308
0.99,134,2.306
0.99,135,2.304
0.99,136,2.301
0.99,137,2.299
0.99,138,2.297
0.99,139,2.295
0.99,140,2.293
0.99,141,2.291
0.99,142,2.289
0.99,143,2.287
0.99,144,2.285
0.99,145,2.283
0.99,146,2.281
0.99,147,2.279
0.99,148,2.277
0.99,149,2.275
0.99,150,2.273
0.99,151,2.272
0.99,152,2.27
0.99,153,2.268
0.99,154,2.266
0.99,155,2.265
0.99,156,2.263
0.99,157,2.261
0.99,158,2.259
0.99,159,2.258
0.99,160,2.256
0.99,161,2.255
0.99,162,2.253
0.99,163,2.252
0.99,164,2.25
0.99,165,2.248
0.99,166,2.247
0.99,167,2.24
0.99,168,2.238
0.99,169,2.237
0.99,170,2.235
0.99,171,2.234
0.99,172,2.233
0.99,173,2.231
0.99,174,2.23
0.99,175,2.229
0.99,176,2.227
0.99,177,2.226
0.99,178,2.225
0.99,179,2.223
0.99,180,2.222
0.99,181,2.221
0.99,182,2.22
0.99,183,2.219
0.99,184,2.217
0.99,185,2.216
0.99,186,2.215
0.99,187,2.214
0.99,188,2.207
0.99,189,2.206
0.99,190,2.205
0.99,191,2.204
0.99,192,2.203
0.99,193,2.202
0.99,194,2.201
0.99,195,2.2
0.99,196,2.199
0.99,197,2.198
0.99,198,2.197
0.99,199,2.196
0.99,200,2.195
0.95,1,5.0
0.95,2,4.0
0.95,3,4.667
0.95,4,4.25
0.95,5,4.0
0.95,6,3.833
0.95,7,3.714
0.95,8,3.5
0.95,9,3.444
0.95,10,3.4
0.95,11,3.273
0.95,12,3.167
0.95,13,3.154
0.95,14,3.071
0.95,15,3.067
0.95,16,3.0
0.95,17,2.941
0.95,18,2.889
0.95,19,2.895
0.95,20,2.85
0.95,21,2.81
0.95,22,2.773
0.95,23,2.783
0.95,24,2.75
0.95,25,2.72
0.95,26,2.692
0.95,27,2.667
0.95,28,2.679
0.95,29,2.655
0.95,30,2.633
0.95,31,2.613
0.95,32,2.594
0.95,33,2.576
0.95,34,2.559
0.95,35,2.543
0.95,36,2.556
0.95,37,2.541
0.95,38,2.526
0.95,39,2.513
0.95,40,2.5
0.95,41,2.488
0.95,42,2.476
0.95,43,2.465
0.95,44,2.455
0.95,45,2.444
0.95,46,2.435
0.95,47,2.426
0.95,48,2.417
0.95,49,2.408
0.95,50,2.4
0.95,51,2.392
0.95,52,2.385
0.95,53,2.396
0.95,54,2.389
0.95,55,2.382
0.95,56,2.375
0.95,57,2.368
0.95,58,2.362
0.95,59,2.356
0.95,60,2.35
0.95,61,2.344
0.95,62,2.339
0.95,63,2.333
0.95,64,2.328
0.95,65,2.323
0.95,66,2.318
0.95,67,2.313
0.95,68,2.309
0.95,69,2.304
0.95,70,2.3
0.95,71,2.296
0.95,72,2.292
0.95,73,2.288
0.95,74,2.27
0.95,75,2.267
0.95,76,2.263
0.95,77,2.26
0.95,78,2.256
0.95,79,2.253
0.95,80,2.25
0.95,81,2.247
0.95,82,2.244
0.95,83,2.241
0.95,84,2.238
0.95,85,2.235
0.95,86,2.233
0.95,87,2.23
0.95,88,2.227
0.95,89,2.225
0.95,90,2.222
0.95,91,2.22
0.95,92,2.217
0.95,93,2.215
0.95,94,2.213
0.95,95,2.211
0.95,96,2.208
0.95,97,2.206
0.95,98,2.194
0.95,99,2.192
0.95,100,2.19
0.95,101,2.188
0.95,102,2.186
0.95,103,2.184
0.95,104,2.183
0.95,105,2.181
0.95,106,2.179
0.95,107,2.178
0.95,108,2.176
0.95,109,2.174
0.95,110,2.173
0.95,111,2.171
0.95,112,2.17
0.95,113,2.159
0.95,114,2.158
0.95,115,2.157
0.95,116,2.155
0.95,117,2.154
0.95,118,2.153
0.95,119,2.151
0.95,120,2.15
0.95,121,2.149
0.95,122,2.148
0.95,123,2.146
0.95,124,2.145
0.95,125,2.136
0.95,126,2.135
0.95,127,2.134
0.95,128,2.133
0.95,129,2.132
0.95,130,2.131
0.95,131,2.13
0.95,132,2.129
0.95,133,2.128
0.95,134,2.127
0.95,135,2.126
0.95,136,2.118
0.95,137,2.117
0.95,138,2.116
0.95,139,2.115
0.95,140,2.114
0.95,141,2.113
0.95,142,2.113
0.95,143,2.112
0.95,144,2.111
0.95,145,2.11
0.95,146,2.103
0.95,147,2.102
0.95,148,2.101
0.95,149,2.101
0.95,150,2.1
0.95,151,2.099
0.95,152,2.099
0.95,153,2.098
0.95,154,2.097
0.95,155,2.097
0.95,156,2.09
0.95,157,2.089
0.95,158,2.089
0.95,159,2.088
0.95,160,2.088
0.95,161,2.087
0.95,162,2.086
0.95,163,2.086
0.95,164,2.085
0.95,165,2.079
0.95,166,2.078
0.95,167,2.078
0.95,168,2.077
0.95,169,2.077
0.95,170,2.076
0.95,171,2.076
0.95,172,2.076
0.95,173,2.075
0.95,174,2.069
0.95,175,2.069
0.95,176,2.068
0.95,177,2.068
0.95,178,2.067
0.95,179,2.067
0.95,180,2.067
0.95,181,2.066
0.95,182,2.06
0.95,183,2.06
0.95,184,2.06
0.95,185,2.059
0.95,186,2.059
0.95,187,2.059
0.95,188,2.059
0.95,189,2.058
0.95,190,2.053
0.95,191,2.052
0.95,192,2.052
0.95,193,2.052
0.95,194,2.052
0.95,195,2.051
0.95,196,2.051
0.95,197,2.051
0.95,198,2.045
0.95,199,2.045
0.95,200,2.045
0.75,1,3.0
0.75,2,2.5
0.75,3,2.667
0.75,4,2.75
0.75,5,2.6
0.75,6,2.5
0.75,7,2.429
0.75,8,2.375
0.75,9,2.333
0.75,10,2.3
0.75,11,2.273
0.75,12,2.25
0.75,13,2.231
0.75,14,2.214
0.75,15,2.2
0.75,16,2.188
0.75,17,2.176
0.75,18,2.167
0.75,19,2.158
0.75,20,2.15
0.75,21,2.143
0.75,22,2.136
0.75,23,2.13
0.75,24,2.125
0.75,25,2.12
0.75,26,2.077
0.75,27,2.074
0.75,28,2.071
0.75,29,2.069
0.75,30,2.067
0.75,31,2.065
0.75,32,2.063
0.75,33,2.061
0.75,34,2.059
0.75,35,2.029
0.75,36,2.028
0.75,37,2.027
0.75,38,2.026
0.75,39,2.026
0.75,40,2.025
0.75,41,2.024
0.75,42,2.0
0.75,43,2.0
0.75,44,2.0
0.75,45,2.0
0.75,46,2.0
0.75,47,2.0
0.75,48,2.0
0.75,49,1.98
0.75,50,1.98
0.75,51,1.98
0.75,52,1.981
0.75,53,1.981
0.75,54,1.981
0.75,55,1.964
0.75,56,1.964
0.75,57,1.965
0.75,58,1.966
0.75,59,1.966
0.75,60,1.967
0.75,61,1.951
0.75,62,1.952
0.75,63,1.952
0.75,64,1.953
0.75,65,1.954
0.75,66,1.955
0.75,67,1.94
0.75,68,1.941
0.75,69,1.942
0.75,70,1.943
0.75,71,1.944
0.75,72,1.944
0.75,73,1.932
0.75,74,1.932
0.75,75,1.933
0.75,76,1.934
0.75,77,1.935
0.75,78,1.923
0.75,79,1.924
0.75,80,1.925
0.75,81,1.926
0.75,82,1.927
0.75,83,1.928
0.75,84,1.917
0.75,85,1.918
0.75,86,1.919
0.75,87,1.92
0.75,88,1.92
0.75,89,1.91
0.75,90,1.911
0.75,91,1.912
0.75,92,1.913
0.75,93,1.914
0.75,94,1.904
0.75,95,1.905
0.75,96,1.906
0.75,97,1.907
0.75,98,1.908
0.75,99,1.899
0.75,100,1.9
0.75,101,1.901
0.75,102,1.902
0.75,103,1.903
0.75,104,1.894
0.75,105,1.895
0.75,106,1.896
0.75,107,1.897
0.75,108,1.898
0.75,109,1.899
0.75,110,1.891
0.75,111,1.892
0.75,112,1.893
0.75,113,1.894
0.75,114,1.895
0.75,115,1.887
0.75,116,1.888
0.75,117,1.889
0.75,118,1.89
0.75,119,1.882
0.75,120,1.883
0.75,121,1.884
0.75,122,1.885
0.75,123,1.886
0.75,124,1.879
0.75,125,1.88
0.75,126,1.881
0.75,127,1.882
0.75,128,1.883
0.75,129,1.876
0.75,130,1.877
0.75,131,1.878
0.75,132,1.879
0.75,133,1.88
0.75,134,1.873
0.75,135,1.874
0.75,136,1.875
0.75,137,1.876
0.75,138,1.877
0.75,139,1.871
0.75,140,1.871
0.75,141,1.872
0.75,142,1.873
0.75,143,1.874
0.75,144,1.868
0.75,145,1.869
0.75,146,1.87
0.75,147,1.871
0.75,148,1.865
0.75,149,1.866
0.75,150,1.867
0.75,151,1.868
0.75,152,1.868
0.75,153,1.863
0.75,154,1.864
0.75,155,1.865
0.75,156,1.865
0.75,157,1.866
0.75,158,1.861
0.75,159,1.862
0.75,160,1.863
0.75,161,1.863
0.75,162,1.858
0.75,163,1.859
0.75,164,1.86
0.75,165,1.861
0.75,166,1.861
0.75,167,1.856
0.75,168,1.857
0.75,169,1.858
0.75,170,1.859
0.75,171,1.854
0.75,172,1.855
0.75,173,1.855
0.75,174,1.856
