p,d,a
0.99,1,6.0
0.99,2,5.0
0.99,3,4.333
0.99,4,3.75
0.99,5,3.2
0.99,6,3.0
0.99,7,2.857
0.99,8,2.625
0.99,9,2.556
0.99,10,2.4
0.99,11,2.273
0.99,12,2.25
0.99,13,2.154
0.99,14,2.143
0.99,15,2.067
0.99,16,2.0
0.99,17,1.941
0.99,18,1.944
0.99,19,1.895
0.99,20,1.85
0.99,21,1.81
0.99,22,1.818
0.99,23,1.783
0.99,24,1.75
0.99,25,1.72
0.99,26,1.692
0.99,27,1.704
0.99,28,1.679
0.99,29,1.655
0.99,30,1.633
0.99,31,1.613
0.99,32,1.625
0.99,33,1.606
0.99,34,1.588
0.99,35,1.571
0.99,36,1.556
0.99,37,1.541
0.99,38,1.526
0.99,39,1.513
0.99,40,1.525
0.99,41,1.512
0.99,42,1.5
0.99,43,1.488
0.99,44,1.477
0.99,45,1.467
0.99,46,1.457
0.99,47,1.447
0.99,48,1.458
0.99,49,1.449
0.99,50,1.44
0.99,51,1.431
0.99,52,1.423
0.99,53,1.415
0.99,54,1.407
0.99,55,1.4
0.99,56,1.393
0.99,57,1.386
0.99,58,1.379
0.99,59,1.373
0.99,60,1.367
0.99,61,1.377
0.99,62,1.371
0.99,63,1.365
0.99,64,1.359
0.99,65,1.354
0.99,66,1.348
0.99,67,1.343
0.99,68,1.338
0.99,69,1.333
0.99,70,1.329
0.99,71,1.324
0.99,72,1.319
0.99,73,1.315
0.99,74,1.311
0.99,75,1.307
0.99,76,1.303
0.99,77,1.312
0.99,78,1.308
0.99,79,1.304
0.99,80,1.3
0.99,81,1.296
0.99,82,1.293
0.99,83,1.289
0.99,84,1.286
0.99,85,1.282
0.99,86,1.279
0.99,87,1.276
0.99,88,1.273
0.99,89,1.27
0.99,90,1.267
0.99,91,1.264
0.99,92,1.261
0.99,93,1.258
0.99,94,1.255
0.99,95,1.253
0.99,96,1.25
0.99,97,1.247
0.99,98,1.245
0.99,99,1.242
0.99,100,1.24
0.99,101,1.238
0.99,102,1.235
0.99,103,1.233
0.99,104,1.231
0.99,105,1.229
0.99,106,1.226
0.99,107,1.224
0.99,108,1.222
0.99,109,1.22
0.99,110,1.218
0.99,111,1.216
0.99,112,1.214
0.99,113,1.212
0.99,114,1.219
0.99,115,1.217
0.99,116,1.216
0.99,117,1.214
0.99,118,1.212
0.99,119,1.21
0.99,120,1.208
0.99,121,1.207
0.99,122,1.205
0.99,123,1.203
0.99,124,1.202
0.99,125,1.2
0.99,126,1.198
0.99,127,1.197
0.99,128,1.195
0.99,129,1.194
0.99,130,1.192
0.99,131,1.191
0.99,132,1.189
0.99,133,1.188
0.99,134,1.187
0.99,135,1.185
0.99,136,1.184
0.99,137,1.182
0.99,138,1.181
0.99,139,1.18
0.99,140,1.179
0.99,141,1.177
0.99,142,1.176
0.99,143,1.175
0.99,144,1.174
0.99,145,1.172
0.99,146,1.171
0.99,147,1.17
0.99,148,1.169
0.99,149,1.168
0.99,150,1.167
0.99,151,1.166
0.99,152,1.164
0.99,153,1.163
0.99,154,1.162
0.99,155,1.155
0.99,156,1.154
0.99,157,1.153
0.99,158,1.152
0.99,159,1.151
0.99,160,1.15
0.99,161,1.149
0.99,162,1.148
0.99,163,1.147
0.99,164,1.146
0.99,165,1.145
0.99,166,1.145
0.99,167,1.144
0.99,168,1.143
0.99,169,1.142
0.99,170,1.141
0.99,171,1.14
0.99,172,1.14
0.99,173,1.139
0.99,174,1.138
0.99,175,1.137
0.99,176,1.136
0.99,177,1.136
0.99,178,1.135
0.99,179,1.134
0.99,180,1.133
0.99,181,1.133
0.99,182,1.132
0.99,183,1.131
0.99,184,1.13
0.99,185,1.13
0.99,186,1.129
0.99,187,1.128
0.99,188,1.128
0.99,189,1.127
0.99,190,1.126
0.99,191,1.126
0.99,192,1.125
0.99,193,1.124
0.99,194,1.124
0.99,195,1.123
0.99,196,1.122
0.99,197,1.122
0.99,198,1.121
0.99,199,1.121
0.99,200,1.12
0.95,1,5.0
0.95,2,4.0
0.95,3,3.333
0.95,4,2.75
0.95,5,2.6
0.95,6,2.333
0.95,7,2.286
0.95,8,2.125
0.95,9,2.0
0.95,10,1.9
0.95,11,1.909
0.95,12,1.833
0.95,13,1.769
0.95,14,1.714
0.95,15,1.667
0.95,16,1.688
0.95,17,1.647
0.95,18,1.611
0.95,19,1.579
0.95,20,1.55
0.95,21,1.524
0.95,22,1.545
0.95,23,1.522
0.95,24,1.5
0.95,25,1.48
0.95,26,1.462
0.95,27,1.444
0.95,28,1.429
0.95,29,1.414
0.95,30,1.4
0.95,31,1.387
0.95,32,1.375
0.95,33,1.364
0.95,34,1.353
0.95,35,1.371
0.95,36,1.361
0.95,37,1.351
0.95,38,1.342
0.95,39,1.333
0.95,40,1.325
0.95,41,1.317
0.95,42,1.31
0.95,43,1.302
0.95,44,1.295
0.95,45,1.289
0.95,46,1.283
0.95,47,1.277
0.95,48,1.271
0.95,49,1.265
0.95,50,1.26
0.95,51,1.255
0.95,52,1.25
0.95,53,1.245
0.95,54,1.241
0.95,55,1.236
0.95,56,1.232
0.95,57,1.228
0.95,58,1.224
0.95,59,1.22
0.95,60,1.217
0.95,61,1.213
0.95,62,1.21
0.95,63,1.206
0.95,64,1.203
0.95,65,1.2
0.95,66,1.197
0.95,67,1.194
0.95,68,1.191
0.95,69,1.188
0.95,70,1.186
0.95,71,1.183
0.95,72,1.181
0.95,73,1.178
0.95,74,1.176
0.95,75,1.173
0.95,76,1.171
0.95,77,1.169
0.95,78,1.167
0.95,79,1.165
0.95,80,1.163
0.95,81,1.16
0.95,82,1.159
0.95,83,1.157
0.95,84,1.155
0.95,85,1.153
0.95,86,1.151
0.95,87,1.149
0.95,88,1.148
0.95,89,1.146
0.95,90,1.144
0.95,91,1.143
0.95,92,1.141
0.95,93,1.14
0.95,94,1.138
0.95,95,1.137
0.95,96,1.135
0.95,97,1.134
0.95,98,1.133
0.95,99,1.131
0.95,100,1.13
0.95,101,1.129
0.95,102,1.127
0.95,103,1.126
0.95,104,1.125
0.95,105,1.124
0.95,106,1.123
0.95,107,1.121
0.95,108,1.12
0.95,109,1.119
0.95,110,1.118
0.95,111,1.108
0.95,112,1.107
0.95,113,1.106
0.95,114,1.105
0.95,115,1.104
0.95,116,1.103
0.95,117,1.103
0.95,118,1.102
0.95,119,1.101
0.95,120,1.1
0.95,121,1.099
0.95,122,1.098
0.95,123,1.098
0.95,124,1.097
0.95,125,1.096
0.95,126,1.095
0.95,127,1.094
0.95,128,1.094
0.95,129,1.093
0.95,130,1.092
0.95,131,1.092
0.95,132,1.091
0.95,133,1.09
0.95,134,1.09
0.95,135,1.089
0.95,136,1.088
0.95,137,1.088
0.95,138,1.08
0.95,139,1.079
0.95,140,1.079
0.95,141,1.078
0.95,142,1.077
0.95,143,1.077
0.95,144,1.076
0.95,145,1.076
0.95,146,1.075
0.95,147,1.075
0.95,148,1.074
0.95,149,1.074
0.95,150,1.073
0.95,151,1.073
0.95,152,1.072
0.95,153,1.072
0.95,154,1.071
0.95,155,1.071
0.95,156,1.071
0.95,157,1.07
0.95,158,1.063
0.95,159,1.063
0.95,160,1.063
0.95,161,1.062
0.95,162,1.062
0.95,163,1.061
0.95,164,1.061
0.95,165,1.061
0.95,166,1.06
0.95,167,1.06
0.95,168,1.06
0.95,169,1.059
0.95,170,1.059
0.95,171,1.058
0.95,172,1.058
0.95,173,1.058
0.95,174,1.057
0.95,175,1.057
0.95,176,1.057
0.95,177,1.051
0.95,178,1.051
0.95,179,1.05
0.95,180,1.05
0.95,181,1.05
0.95,182,1.049
0.95,183,1.049
0.95,184,1.049
0.95,185,1.049
0.95,186,1.048
0.95,187,1.048
0.95,188,1.048
0.95,189,1.048
0.95,190,1.047
0.95,191,1.047
0.95,192,1.047
0.95,193,1.041
0.95,194,1.041
0.95,195,1.041
0.95,196,1.041
0.95,197,1.041
0.95,198,1.04
0.95,199,1.04
0.95,200,1.04
0.75,1,3.0
0.75,2,2.5
0.75,3,2.0
0.75,4,2.0
0.75,5,1.8
0.75,6,1.667
0.75,7,1.571
0.75,8,1.5
0.75,9,1.444
0.75,10,1.4
0.75,11,1.364
0.75,12,1.333
0.75,13,1.308
0.75,14,1.286
0.75,15,1.267
0.75,16,1.25
0.75,17,1.235
0.75,18,1.222
0.75,19,1.211
0.75,20,1.2
0.75,21,1.19
0.75,22,1.182
0.75,23,1.174
0.75,24,1.167
0.75,25,1.16
0.75,26,1.154
0.75,27,1.111
0.75,28,1.107
0.75,29,1.103
0.75,30,1.1
0.75,31,1.097
0.75,32,1.094
0.75,33,1.091
0.75,34,1.088
0.75,35,1.086
0.75,36,1.083
0.75,37,1.081
0.75,38,1.079
0.75,39,1.077
0.75,40,1.075
0.75,41,1.073
0.75,42,1.071
0.75,43,1.047
0.75,44,1.045
0.75,45,1.044
0.75,46,1.043
0.75,47,1.043
0.75,48,1.042
0.75,49,1.041
0.75,50,1.04
0.75,51,1.039
0.75,52,1.038
0.75,53,1.038
0.75,54,1.037
0.75,55,1.036
0.75,56,1.036
0.75,57,1.018
0.75,58,1.017
0.75,59,1.017
0.75,60,1.017
0.75,61,1.016
0.75,62,1.016
0.75,63,1.016
0.75,64,1.016
0.75,65,1.015
0.75,66,1.015
0.75,67,1.015
0.75,68,1.0
0.75,69,1.0
0.75,70,1.0
0.75,71,1.0
0.75,72,1.0
0.75,73,1.0
0.75,74,1.0
0.75,75,1.0
0.75,76,1.0
0.75,77,1.0
0.75,78,1.0
0.75,79,1.0
0.75,80,0.988
0.75,81,0.988
0.75,82,0.988
0.75,83,0.988
0.75,84,0.988
0.75,85,0.988
0.75,86,0.988
0.75,87,0.989
0.75,88,0.989
0.75,89,0.989
0.75,90,0.978
0.75,91,0.978
0.75,92,0.978
0.75,93,0.978
0.75,94,0.979
0.75,95,0.979
0.75,96,0.979
0.75,97,0.979
0.75,98,0.98
0.75,99,0.98
0.75,100,0.98
0.75,101,0.97
0.75,102,0.971
0.75,103,0.971
0.75,104,0.971
0.75,105,0.971
0.75,106,0.972
0.75,107,0.972
0.75,108,0.972
0.75,109,0.972
0.75,110,0.973
0.75,111,0.964
0.75,112,0.964
0.75,113,0.965
0.75,114,0.965
0.75,115,0.965
0.75,116,0.966
0.75,117,0.966
0.75,118,0.966
0.75,119,0.966
0.75,120,0.967
0.75,121,0.959
0.75,122,0.959
0.75,123,0.959
0.75,124,0.96
0.75,125,0.96
0.75,126,0.96
0.75,127,0.961
0.75,128,0.961
0.75,129,0.961
0.75,130,0.954
0.75,131,0.954
0.75,132,0.955
0.75,133,0.955
0.75,134,0.955
0.75,135,0.956
0.75,136,0.956
0.75,137,0.956
0.75,138,0.957
0.75,139,0.957
0.75,140,0.95
0.75,141,0.95
0.75,142,0.951
0.75,143,0.951
0.75,144,0.951
0.75,145,0.952
0.75,146,0.952
0.75,147,0.952
0.75,148,0.953
0.75,149,0.946
0.75,150,0.947
0.75,151,0.947
0.75,152,0.947
0.75,153,0.948
0.75,154,0.948
0.75,155,0.948
0.75,156,0.949
0.75,157,0.949
0.75,158,0.949
0.75,159,0.943
0.75,160,0.944
0.75,161,0.944
0.75,162,0.944
0.75,163,0.945
0.75,164,0.945
0.75,165,0.945
0.75,166,0.946
0.75,167,0.946
0.75,168,0.94
0.75,169,0.941
0.75,170,0.941
0.75,171,0.942
0.75,172,0.942
0.75,173,0.942
0.75,174,0.943
